Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	DIA_1_S5-B1_1_12203.d	DIA_2_S5-C1_1_12204.d	DIA_3_S5-D1_1_12205.d	DIA_4_S5-E1_1_12206.d	DIA_5_S5-F1_1_12207.d	DIA_6_S5-G1_1_12208.d	DIA_7_S5-A2_1_12209.d	DIA_8_S5-B2_1_12210.d	DIA_9_S5-C2_1_12211.d	DIA_10_S5-D2_1_12212.d	DIA_11_S5-E2_1_12213.d	DIA_12_S5-F2_1_12214.d	DIA_13_S5-G2_1_12215.d	DIA_14_S5-A3_1_12216.d	DIA_15_S5-B3_1_12217.d	DIA_16_S5-C3_1_12218.d	DIA_17_S5-D3_1_12219.d	DIA_18_S5-E3_1_12220.d	DIA_19_S5-F3_1_12221.d	DIA_20_S5-G3_1_12222.d	DIA_21_S5-A4_1_12223.d	DIA_22_S5-B4_1_12224.d	DIA_23_S5-C4_1_12225.d	DIA_24_S5-D4_1_12226.d	DIA_25_S5-E4_1_12227.d	DIA_26_S5-F4_1_12228.d	DIA_27_S5-G4_1_12229.d	DIA_28_S5-A5_1_12230.d	DIA_29_S5-B5_1_12231.d	DIA_30_S5-C5_1_12232.d	DIA_31_S5-D5_1_12233.d	DIA_32_S5-E5_1_12234.d	DIA_33_S5-F5_1_12235.d	DIA_34_S5-G5_1_12236.d	DIA_35_S5-A6_1_12237.d	DIA_36_S5-B6_1_12238.d	DIA_37_S5-C6_1_12239.d	DIA_38_S5-D6_1_12240.d	DIA_39_S5-E6_1_12241.d	DIA_40_S5-F6_1_12242.d	DIA_41_S5-G6_1_12243.d	DIA_42_S5-A7_1_12244.d	DIA_43_S5-B7_1_12245.d	DIA_44_S5-C7_1_12246.d	DIA_45_S5-D7_1_12247.d	DIA_46_S5-E7_1_12248.d	DIA_47_S5-F7_1_12249.d	DIA_48_S6-B1_1_12252.d	DIA_49_S6-C1_1_12253.d	DIA_50_S6-D1_1_12254.d	DIA_51_S6-E1_1_12255.d	DIA_52_S6-F1_1_12256.d	DIA_53_S6-G1_1_12257.d	DIA_54_S6-A2_1_12258.d	DIA_55_S6-B2_1_12259.d	DIA_56_S6-C2_1_12260.d	DIA_57_S6-D2_1_12261.d	DIA_58_S6-E2_1_12262.d	DIA_59_S6-F2_1_12263.d	DIA_60_S6-G2_1_12264.d	DIA_61_S6-A3_1_12265.d	DIA_62_S6-B3_1_12266.d	DIA_63_S6-C3_1_12267.d	DIA_64_S6-D3_1_12268.d	DIA_65_S6-E3_1_12269.d	DIA_66_S6-F3_1_12270.d	DIA_67_S6-G3_1_12271.d	DIA_68_S6-A4_1_12272.d	DIA_69_S6-B4_1_12273.d	DIA_70_S6-C4_1_12274.d	DIA_71_S6-D4_1_12275.d	DIA_72_S6-E4_1_12276.d	DIA_73_S6-F4_1_12277.d	DIA_74_S6-G4_1_12278.d	DIA_75_S6-A5_1_12279.d	DIA_76_S6-B5_1_12280.d	DIA_77_S6-C5_1_12281.d	DIA_78_S6-D5_1_12282.d	DIA_79_S6-E5_1_12283.d	DIA_80_S6-F5_1_12284.d	DIA_81_S6-G5_1_12285.d	DIA_82_S6-A6_1_12286.d	DIA_83_S6-B6_1_12287.d	DIA_84_S6-C6_1_12288.d	DIA_85_S6-D6_1_12289.d	DIA_86_S6-E6_1_12290.d	DIA_87_S6-F6_1_12291.d	DIA_88_S6-G6_1_12292.d	DIA_89_S6-A7_1_12293.d	DIA_90_S6-B7_1_12294.d	DIA_91_S6-C7_1_12295.d	DIA_92_S6-D7_1_12296.d	DIA_93_S6-E7_1_12297.d	DIA_94_S6-F7_1_12298.d	DIA_95_S6-G7_1_12299.d	DIA_96_S6-A8_1_12300.d	DIA_97_S6-B8_1_12301.d	DIA_98_S6-C8_1_12302.d	DIA_Pool1_S5-A1_1_12202.d	DIA_Pool2_S5-G7_1_12250.d	DIA_Pool3_S6-A1_1_12251.d	DIA_Pool4_S6-D8_1_12303.d
P01036	P01036	CYTS_HUMAN	CST4	Cystatin-S	849.173		2414.22	461.841				585.179	1288.27	504.878												731.826		473.661								1113.95																														529.78			611.362	702.591														529.607					6359.59													832.448		799.277		
P01040	P01040	CYTA_HUMAN	CSTA	Cystatin-A	5498.09	8017.59	4969.42	7143.08	3231.5	3235.44	11490.4	3677.17	6959.06	7402.84	2894.69	6258.65	6032.43	4637.87	2658.25	3470.18	2384.93	4966.36	1781.52	4124.43	3656.15	4420.11	5320.32	2292.88	5346.88	3366.51	3739.03	2724.33	3131.12	4210.77	1523.51	3720.16	6166.84	3428.43	15971.9	8219.99	8356.94	3576.13	10546.9	3773.48	10433.8	4102.93	3368.63	3073.62	3464.6	5262.88	3126.47	5797.67	3023	5708.24	4235.29	4081.26	5114.53		6051.83	3008.56	3717.16	3192.94	2728.34	5906.94	5637.71	8072.92	6323.98	4878.25	6994.93	4681.33	8171.8	5503.71	5306.04	3690.66	6017.64	7647.8	6214.04	5882.48	8008.45	2528.29	1911.93	2161.15	2828.34	6605.58	3691.24	3281.47	4387.73	37296.5	9343.33	4117.03	3625.27	8416.89	4089.36	3290.09	4672.66	2207.97	3735.26	12487.9	6108.85	12480.6	6256.62	10077.1	2765.81	3174.42	4927.66	3288.79
P01042	P01042	KNG1_HUMAN	KNG1	Kininogen-1	1.51E+06	1.39E+06	1.12E+06	1.01E+06	1.50E+06	1.10E+06	1.35E+06	1.22E+06	973073	1.17E+06	1.02E+06	1.45E+06	1.47E+06	1.98E+06	1.30E+06	1.24E+06	1.30E+06	973775	1.18E+06	1.09E+06	1.84E+06	1.53E+06	1.30E+06	1.19E+06	1.39E+06	1.40E+06	1.33E+06	1.20E+06	1.78E+06	1.55E+06	2.48E+06	1.14E+06	1.37E+06	1.14E+06	1.43E+06	1.25E+06	1.28E+06	1.65E+06	1.57E+06	1.34E+06	1.17E+06	1.35E+06	1.29E+06	1.25E+06	1.18E+06	1.29E+06	1.27E+06	1.15E+06	1.24E+06	1.26E+06	1.71E+06	1.07E+06	1.93E+06	2.38E+06	1.15E+06	1.23E+06	2.03E+06	1.34E+06	1.33E+06	1.24E+06	1.49E+06	1.06E+06	1.45E+06	1.17E+06	1.81E+06	1.43E+06	1.44E+06	2.25E+06	1.71E+06	1.26E+06	1.66E+06	1.22E+06	1.68E+06	1.45E+06	777957	807738	522554	1.26E+06	1.15E+06	1.20E+06	1.48E+06	1.49E+06	1.59E+06	1.42E+06	1.44E+06	1.86E+06	1.62E+06	1.65E+06	1.36E+06	1.37E+06	1.68E+06	1.95E+06	1.65E+06	983121	1.60E+06	1.21E+06	1.38E+06	1.46E+06	1.42E+06	1.68E+06	1.66E+06	1.59E+06
P01127	P01127	PDGFB_HUMAN	PDGFB	Platelet-derived growth factor subunit B	1819.58	3677.44	3879	3757.11	2682.53	4588.48	2330.65	3937.31	3848.73	4834.03	2884.24	3103.45	3927.92		4387.57	3748.01	9341.64	3850.45	4240.05	5915.08		2199.91	2401	1807.85	3138.42	3439.04	3504.83	4278.83	4322.09	3288.52		2519.58	5527.09	4166.66	2699.82	7260.57	4739.72	3093.79	4289.93	4280.14	4169.47	3026.06		5491.93	2048.69	2695.69		4221.35	3906.74	2806.61	2520.75	2962.62	3582.73		4374.85	2985.93	2365.73	3083.57	2971.51	4193.57	4166.79	3261.94	3788.58	3991.8	3392.44	2506.87	4918.59	2489.39	2647.47	3936.84	2785.4	3635.82	3435.71		2740.89	3689.21		2920.03	2401.92	5785.47	3146.29	2898.71	4287.02	1858.73	3507.06	2837.74	2666.12	2572.25	2579.03	2607.46	2734.09	5224.04	3200.59	1607.5	2021.37	3290.31	4278.01	3544.17	3168.25	3568.69	3431.6	3304.4
P01160	P01160	ANF_HUMAN	NPPA	Natriuretic peptides A		678.408		628.631				735.108			1393.08									662.633	675.359	787.12														772.219																								669.434		570.816		785.758						1063.25					696.518	561.008		844.105	850.81		879.824	840.399		696.19							704.734						846.432	1163.71				
P01189	P01189	COLI_HUMAN	POMC	Pro-opiomelanocortin	2407.96	2180.31	1975.65	2480.26	2394.02		2315.4	2351.53	2386.63	2347.91	2331.34		2337.69		1175.77	1349.44	1733.35	1627.24	1446.99	1423.75	1348.24	1151.46	2731.42	1758.5	1231.25	2791.93	3962.8		3562.76	5062.31		2593.55	2387.34	2426.41	4018.81	1242.87	3148.7		4106.66	1769.46	1615.92	1859.64		2736.72	2172.9	820.279		5130.03	4703.51	6235.5	4461.71	3591.08	2977.83		4944.74	3776.17	4360.29	11551.1	3875.53	4080.24	4664.75	5058.14	4561.51	5008.4	3974.32	5280.32	4323.71	5345.95	6609.37	3316.28	4368.57	6087.06	5169.91		4393.15	3190.55	1637.02	4552.8	8298.76	4331.58	4442.01	6682.37	3968.68	4989.47	7495.77	9138.98	8861.31	5182.55	6744.71	2418.32	4083.24	4005.54	5218.1	2089.42	4990.8	1838.72	5322.89	3850.38	1635.5	4742.8	5314.64	5717.22
P01210	P01210	PENK_HUMAN	PENK	Proenkephalin-A	56.4845				329.975								271.382						496.919					337.621				271.113	269.089	246.966				362.375				276.9	314.623	184.527	350.007			401.996		357.986			246.595			272.428			475.443			393.108		125.148						124.796				153.483		212.87	119.635	350.417		79.3456																			135.852	120.291				358.567		
P01225	P01225	FSHB_HUMAN	FSHB	Follitropin subunit beta			378.85	1124.26		4895.28	3094.42	4739.93	2615.59		3647.39	2404.33	427.319					1370.43	7076.21	2214.95		2493.03						3949.71	2908.17	4046.58		6357.6		3027.42				465.17		3045.89	1893.96		1704.96			2520.67						4437.49	590.438		5686.55		322.044					473.232		477.075	699.464	405.924	427.95		1558.09	2983.07			3553.93		980.558		2390.85	4050.14	6743.84	825.744	813.453	5686.22	2188.16	722.577	358.249	4565.56	409.293	3920.12	374.103	181.656	3286.5	473.485	5711.53	678.705	1799.81			3231.86	2250.86	1730.09	2025.59	1988.06
P01266	P01266	THYG_HUMAN	TG	Thyroglobulin	17014.2	20016.1	20081.8	14378.4	40256.7	9095.44	27583.7	9152.22	16497.7	25387.2	8465.1	24055.2	10610.9	24508.9	6424.35	19259.8	53834.3	2480.61	22400.2	23587.4	18887.2	19006.4	17033.9	12656.4	31329.8	25426.6	11854.6	26564.6	35149.6	16205.7	359013	21571.4	20900.1	19807.4	34830.1	25776.7	16439.6	29442.3	39548.4	31133.5	25116.9	16903.7	65442.9	15044.6	57056.8	34269.1	49003.9	3254.38	10361	11209.6	7658	10747.6	8712.2	152373	14047.2	19207.5	23589.8	21254.6	20416.2	22144.1	18842.5	17823.8	22163.1	12826.6	12764.4	11124.5	11491.5	16830.8	20477.9	20696.1	5742.36	14783.3	13081.1	15942.2	13085.4	7188.22	10600.5	11351.9	8406.93	21620.5	15030.6	11757.5	7973.72	10060.2	15887.2	14984.3	17234.7	7626.72	15197.4	11334.3	6563.69	5807.92	7141.07	20719.2	11657.4	13951.7	14755.1	9896.78	17909.1	24903.9	15454.9	9695.67
P01344	P01344	IGF2_HUMAN	IGF2	Insulin-like growth factor II	3807.97	2306.9	3151.83	786.766			530.058	4232.38	2802.74		2200.34		751.905					1132.41	1931.06						825.732		1151.4			739.393										1169.19	1856.98							1089.5		2037.98			1565.87		1745.46		1790.82	1030.5	1942.32	1195.05	2760.5			2600.61	2147.94		1339.43			1977.69	1833.23		1913.99			668.647	1031.38	2717.33	1934.04	1934.33		2229	3682.51	2682.74	2637.68	3035.82	2769.33		3574.31	1195.29	2938.6	2934.31	3183.83	1868.39	1781.86		2340.36	2933.07		749.973	1977.01	3095.22
P01350	P01350	GAST_HUMAN	GAST	Gastrin	83.6759	2471.12	169.024									1744.91								82.6676		451.217		1184.16																	74.4361							887.879	684.353	734.239	113.851		4367.64								151.34			630.071	149.623	165.053		224.845		520.881	1451.24				1812.89			3118.45			269.426		182.128		307.663	217.139	9442.87		272.772			667.952		471.557		160.063			379.936	247.852	335.722	558.923
P01591	P01591	IGJ_HUMAN	JCHAIN	Immunoglobulin J chain	38756.1	9568.72	25486.4	51487.1	47129.6	32036	33349.6	36522.9	25050.8	18295.3	34161.2	25660.2	24860.9	8260.79	12757.6	23917.5	31458.6	12972.3	24625.4	35504.9	28793.2	11932.3	15729	14532.3	12872.1	10285.9	37662	22853.8	19110.5	10309.5		29967.6	26974.1	48206	13946.5	38263.2	39266.5	20504.9	18686.5	29374.6	48993.8	33049.6	20941.8	20587.3	16365.8	34194.4	11439.5	11792.5	17111.5	17932.5	32093.3	12916.3	11607.2		16297.1	29386.3	19042.4	16302.5	13688.9	12234.9	12492.4	9929.23	11758	23871.2	23157.6	22355	30691.9	31796.4	15968.8	13969.1	56691.4	29075.3	9618.27	15120.8	35662	43328.2	55426.6	98322.1	25571.8	19933.4	34523	8515	10728	18038.7	19494.3	31558.7	57575.5	14357.4	24648.9	14037.9	22856.9	12173.1	7786.32	12100.6	51407.2	32798.3	16392.5	5377.36	31958.2	36192	22510.8	18101.6
P01593	P01593	KVD33_HUMAN	IGKV1D-33	Immunoglobulin kappa variable 1D-33	25020	11604.5	19125.5	14297.6	13777.8	11231.3	20886.1	11139.5	12926.1	14507.8	10910.6	33580.3	10226.8	12997.9	14950.6	15604.7	23569.6	6430.52	29973.9	24818.5	15581.4	13537	17737.5	16808.4	13045.5	11916.7	15230.2	5576.61	25516.5	16011.7	34892.3	16819.3	74556.6	12424.1	20313.1	15486.9	14898.6	9229.2	19718.8	29367.9	67847.4	17287.6	18791.1	20963.3	18524.1	22351.3	32632.9	8433.26	26129	8925.45	2721.81	3999.57	21571.9	74784.7	12637.2	17472.2	12289	12139.9	12303.6	9696.75	7413.16	13319	8760.54	9050.74	9056.84	12704.9	43024	11453	11207.8	8791.2	28844.8	13775.1	17562.3	16666.3	15848.8	29253.9	30792	33527.6	15126.7	18614.2	12208.6	19976.5	11484.9	8706.4	18274.8	28640.9	23077.7	15514	21640	13659.2	19437.4	17867.7	17423.3	17980.4	29647.1	19383.2	10248	6047.77	21649.8	22846	12723.9	15428
P01597	P01597	KV139_HUMAN	IGKV1-39	Immunoglobulin kappa variable 1-39	4684.6	6386.81	3080.53	3466.01	3537.07	2644.16	3721.33	1590.15	1940.98	2246.93	3434.93	7091.52	2013.97	2119.97	3414.31	2761.69	3627.17	1218.2	4029.12	3207.05	3644.15	2015.46	3429.47	5550.71	2293.74	1951.04	4290.84	1466.83	3947.9	2274.72	17061.8	2415.56	3258.9	2026.79	2943.29	3188.44	1987.72	1913.45	3346.36	3339.69	9081.54	4306.71	2907.76	5074.07	4084.79	2299.25	4312	2217.75	2557.83	1651.63	2517.38	691.652	3331.16	43520.1	1340.37	3778.88	2452.74	2304.19	2433.77	1529.25	1418.94	1968.92	2256.5	987.38	1170.84	2837.65	3382.08	2215.71	2109.32	1392.08	5085.28	1665.35	1270.9	1581.83	5749.5	4647.88	11355.2	7863.81	2729.72	2847.88	2628.11	2635.48	1749.54	1612.16	1938.68	4975.89	3560.14	1505.36	2504.88	1769.64	2727.56	1753.07	1401.01	2997.91	3238.71	5989.02	1860.15	1481.76	5871.23	4047.49	2268.96	2416.41
P01599	P01599	KV117_HUMAN	IGKV1-17	Immunoglobulin kappa variable 1-17	5522.17	2096.94	2412.82	2723.39			4138.88	600.862	2914.86	4361.03	6380.48	3342.33		3663.48	2199.56		3213.5	2428.43	5453.97	2799.53	2641.78		13379.9		2505.21		3422.16		4403.02	2207.88			5373.28		2778.85	10250.3	2471.17	2370.88		3462.73	9168.63	2821.52		2495.42	2138.84	3243.13	8226.92		6849.45				1758.53		1821.8	3208	3843.38	1318.35	5016.7	1213.41	2335.86		1588.7	998.552	1195.36	2137.63	5061.94	5198.19		4295.96	3897.74	2555.98			8200.61	9616.33	18557	13278.7	4663.7	2719.35	1874.77	3079.36				1288.41	2692.64		3865.42	2971.56	1941.97	1273.04			3365.51	2781.86	2555.84		4243.85	4091.65	2475.98	
P01602	P01602	KV105_HUMAN	IGKV1-5	Immunoglobulin kappa variable 1-5	16396	7437.87	8499.97	9660.16	11254.8	5123.91	12395.6	10234	8798.93	8874.13	15223.9	9196.26	5429.55	5244.82	6335.49	4737	3092.52	3914.06	10187.2	8535.6	7601.27	4184.99	4940.39	3318.57	4534.68	3966.74	9521.09		6102.33	4218.64		4700.09	9264.08	2800.79	10651.6	5034.08	6561.38	2676.97	7288.18	6439.13	14561.6	7148.37	1472.11	5214.03	5655.46	3379.66	7634.31	4789.47	5623.7	6980.29	4798.43	2663.58	6607.62		7082.32	7022.45	4729.91	5544.22	3341.46	3017.58	8787.58	2972.84	4806.01	3374.03	3706.29	5832.23	16768.8	6267.07	4834.05	2931.79	6991.15	5390.62	6121.89	8370.56	21113	40310.8	48525.4	34419.5	8367.08	5920.58	6596.87	3392.93	4670.66	2230.16	8289.22	5451.78	4476.35	19152.1	3943.42	3344.62	7086.02	7497.63	3501.96	2686.49	10677.2	5739.43	2675.7	2450.98	10939.9	10292.7	3581.62	4107.42
P01619	P01619	KV320_HUMAN	IGKV3-20	Immunoglobulin kappa variable 3-20	44783.5	31448.2	28562.8	38290.4	59240	29957.4	33988.2	24495.2	18845.3	39626.6	67614.8	32327.8	20992.3	28573.3	34224.8	22249.9	29346.2	22918.2	64189.4	41029.4	39868.2	21336.5	41070.2	30265	25755.7	26772.7	45717.8	19987.4	28230.6	24447.1	36606.7	37871.4	30061.9	18273.2	26996.4	32299.9	25336.9	18995.5	39464.7	35818.5	91064.8	28629.4	19397.5	33048	30296	28311.9	97023.1	21857.9	28540.9	25395.9	29598.3	12569.5	52772.9		16229.2	35110.6	18902.1	20028.6	18779.1	16788.9	11474.8	15386.1	11842.1	16658.4	18708.6	25308.5	59936.5	27518.8	22387.8	14775.7	35126.1	18925.3	33197.7	41007.8	120346	126460	180454	163609	34702.1	33204.9	27458.7	18223.2	15211	13261.4	31195.8	33417	32082.7	17070	28614.3	23206.5	32128.4	16096.2	17505.8	19247.7	41609.2	69202.8	16479.5	6543.52	49697.6	51576.3	27061	19310.4
P01700	P01700	LV147_HUMAN	IGLV1-47	Immunoglobulin lambda variable 1-47	5235.44	14447.4	19214.2	15234.2	15029.1	10916.8	13172.7	9812.24	8457.06	9332.08	26122	13447.8	14426.3	10997.1	14922.1	21271.8	18522.4	8802.39	16305.6	17720.2	32114.1	10697.7	19836.8	12988.5	6080.37	12341.1	25246.1	5085.44	13468.2	8852.03	4170.95	19698.5	14339.9	17044.1	12989.6	12657.9	8391.38	11945.7	20163.1	13659.7	25343.3	19645.4	7859.47	16936.3	12663	12719.1	16583	24395.8	15294.5	6855.53	31104.3	5265.48	22130.9	41340.6	10466.2	23293.6	16823.8	10618.2	18228.4	8054.94	6195.02	9859.36	10360.8	12666.9	16114.6	20954	15460.1	10430.3	19093.2	23634.3	25166.9	13680.3	25239.4	12692.7	30768.4	33602.4	33976.4	33279.8	16111.6	11355.8	16462	17383.4	14751.3	8841.34	10529	8576.05	11936.2	9384.52	27442.7	12764.4	21651.8	12318.5	12927.2	16174	25405	18921.9	9686.74	5482.33	19601.6	18152.2	15940.1	14196.7
P01701	P01701	LV151_HUMAN	IGLV1-51	Immunoglobulin lambda variable 1-51	30240	10717.8	11999.1	27801.4	41446.4	8709.08	56773.6	8909.9	16997.1	26227.4	24439.9	47425.4	10659.4	18598.1	25974	38211.9	42668.9	23499.3	51589.7	24653.8	40155.9	12458.1	36860.2	17299.9	12330.5	20672.4	40907.6	23521.4	15190.3	18823.7		30872.5	36343.8	40400.2	23747.1	58269.4	4468.58	16309.7	28842.7	32709.9	44861.2	42705.3	10408.5	39215.9	23095.4	18226.9	21728	31045.9	47763.5	25029.1	32165.5	9939.32	37612.5		17634.3	22986.8	28864.3	23915.1	25176.8	11518.4	15184.9	8661.52	23510	24663.9	19852.5	27804.3	40372.8	23801.4	31351.6	14738.2	33793.7	23698.3	38715.6	30323	33225.1	46485.1	34799	28008.7	24419.7	19267.4	10176.1	6090.28	18966.8	22772.5	31082.8	20920.8	33372.2	7844.65	27190.7	18952.8	22702.8	17427.1	13115.8	34969.4	52636.9	6364.21	17499.3	11679.4	21753.3	41672.2	23151.7	22609.5
P01703	P01703	LV140_HUMAN	IGLV1-40	Immunoglobulin lambda variable 1-40	4278.47	6420.52	5926.39	4522.65	5874.25	3444.14	6384.88	4695.61	9205.77	2636.02	8608.83	3038.71	2022.93	2611.21	5176.65	12139.3	5363.58	4338.44	22326.8	9613.85	7333.58	3901.54	9545.98	4742.12	3521.2	3119.97	10123.7	3189.77	3589.5	2360.27		6381.83	4542.82	16183.9	5240.25	6531.2	4091.51	5874.85	6260.13	9462.92	11242.3	5955.67	4712.97	8620.28	7001.44	9573.32	7701.52	7754.45	42731.3	5485.18	5271.63	2779.31	10510		8385.47	8407.13	6290.42	4142.29	8734.03	4375.57	3517.13	8417.59	7875.6	5459.41	6544.27	17011.5	5872.15	4193.23	4195.77	4988.56	9993.11	17157.9	6788.9	3968.35	13699.7	19688.8	18727	12025.5	6247.12	3943.2	12126.7	8280.48	7216.08	3731.51	5357.76	7062.1	8233.92	7740.56	9888.78	7840.67	7951.9	3698.64	1900.71	4110.53	5500.05	9485.33	6817.55	2722.6	8487.29	7940.27	5790.79	8121.4
P01704	P01704	LV214_HUMAN	IGLV2-14	Immunoglobulin lambda variable 2-14		8047.73	11825.4		19617.3	2455.51	8453.53	16677.9		5294.77	6226.8	6659.3	17832.5	7426.68		7871.29	3770.56		2895.94	13544.6	20858			5526.54	7625.88	3136.26	12088.5	4378.9		6538.74		18690.1		12255.6	5297.81			11017.8	13917	11783.9	11809.1				6442.38	7933.55	14332.8	13614.8	11641.1		19175.1	2832.7	9924.42		9282.77			9184.48	8999.09		7267.48	5231.93		10126.1	10744.5	20881.7		8925.44	12170.8						13940	12670.2	13550.2	21942.6		5241.8	9822.4	9101.33	7150.78	6075.01	4758.45	4835.14	27211.5	11205.8	23356.8	11971.4	8679.69	14361.4	10199	4643.3		40680.3	10168.1	10257.6	10762	10699.4	7966.28	9424.41
P01705	P01705	LV223_HUMAN	IGLV2-23	Immunoglobulin lambda variable 2-23	6210.88	19696.8	6597.19	4318.27			10778.1	1260.6	3196.58		1707.99	4574.74	30445.5	2423.16	3260.41	5033.75	5639.08	4281.69	3797.58	4432.16	9931.35		5138.87		3701.65		4362.43	1556.09	6247.29	1150.1		7665.63	6095.47	4637.01	3247.46	6428.73			5997.79	7187.49	5217.14			11409.3	3008.05	3714.54	9684.25	5032.46	9607.74		2834.89	2158.21	7805.33		3072.53		10804.2	6186.45	3619.49	2050.52	2248.63	3869.97	8083.25		2964.68	5624.23	8217.95	6977.28	8354.93	4133.93	7569.61	6798.09	2065.47		9566.94	8436.44	4270.28	6882.94	3989.08	2751.41	3415.35	7049.91		3281.39	4328.7	4786.98	7790.28		10246.9	7521.4	31698	7983.73	4772.23	3149.51	5140.22	5520.2	5048.22	4757.39	6397.4	8367.22	7044.19	6091.42
P01706	P01706	LV211_HUMAN	IGLV2-11	Immunoglobulin lambda variable 2-11	36166.7	4738.33	5894.4	16696.4	38987.5	1548.36	12711.2	9722.13	6527.16	9252.07	7011.79	5559.31	25765.2	6469.7	8072.84	8381.23	6648.95	7634.1	32470.5	6974.11	10058.8	3820.81	14622.9	13310.5	5793.2	14147.8	11028.2	5263.69	9607.5	4068.82		15500.9	15402.2	10923.3	5605.07	7230.13	4927.69	7973.15	11900.7	10488.1	14735	12197.8	1232.07	13127.4	7151.75	9175.84	18019.7	9619.49	13059.8	6209.49	7598.38	22813.4	11227.7		18462.6	7260.69	10363.4	10022.5	9283.09	7858.68	5205.18	8372.67	5710.67	7071.07	14271.3	21104.7	9023.55	8767.09	11875.6	5556.86	15632.6	14601.4	41520.9	29743.2	20779.4	7325.72	9255.73	15311.4	7679.93	2888.77	8771.71	11303.2	6112.76	11134.6	9072.71	7007.6	19782.4	8951.31	10055.8	4724.86	14302.4	8302.76	5329.04	9440.94	35015.8	36231.2	5785.02	5901.93	10547.7	18064.5	12911.1	11152.5
P01709	P01709	LV208_HUMAN	IGLV2-8	Immunoglobulin lambda variable 2-8	4250.3	5034.15	17919.6	10584.6	21030.8	6520.89	13744.3	57978.3	3789.06	21504.2	4263.72	20259.6	10266.8	7411.22	13108.6	19653.7	31262	8611.29	15309.2	7489.99	7516.82	11393.9	34676.2	16122.1	12241.8	11873.6	17191.9	8377.56	14102.8	7975.99		27720.8	36958.6	18771.2		7219.3	14443.3	15173.3	25858.3	22291.7	10807.1	25680.5	7645.45	27688.2	10297.8	18349.3	18399.8	7223.3	12179.2	5682.67	19782.6	5952.26	1586.24		8332.57	31840.3	17674.9	11348.5	15391.7	8891.76	2208.78	11576.7	8861.97	7998.52	9819.52	11628.8	23638.5	3754.76	11793.1	4787.78	53549.1	10130.4	6603.48	9441.61	2963.49		6058.52	1886.65		3854.26	8706.51	1615.1	10086.8	4029.37	2112.4		10631.1	6116.28	5750.43	21885.1	11198.9	7447.93	1913	6687.72	3980.96	31509.1	7191.27	4964.34	8311.76	8285.87	11594.2	4035.21
P01714	P01714	LV319_HUMAN	IGLV3-19	Immunoglobulin lambda variable 3-19	1866.74	729.836	2162.72	2082.39	1978.75	1231.9	5359.26	1087.42	1374.35	1428.68	2621.12	1477.66	1416.44	561.008	1548.09	3735.24	1198.71	1374.63	2994.59	2011.97	2361.31	2940.7	2836.74	1109.5	973.385	1866.94	1513.28	476.713	854.986	899.775		2247.87	3337.85	1105.77	341.658	1963.2	2009.4	1662.94	2053.26	2462.98	3298.85	1280.33	649.028	2272.19	787.794	4084.04	1497.1	736.174	2602.79	927.687	644.83	898.599	894.16		912.87	3792.98	1694.47	4414.25	913.88	1313.73	926.696	1663.88	2399.68	1312.8	3211.27	2024.94	2079.96	1613	1124.55	3165.48	3839.49	2227.88	1758.31	2357.95	2741.38	2989.19	1479.89	3152.3	886.116	1287.57	1814.04	1782.06	1003.2	634.048	784.407	1133.42	2275.97	1395.79	1616	1534.29	1605.22	938.828	466.396		1678.63	2152.59	637.587	866.854	1982.26	3533.86	1772.68	1252.4
P01717	P01717	LV325_HUMAN	IGLV3-25	Immunoglobulin lambda variable 3-25	11712.5	6271.88	6575.73	13515.4	8803.01	4243.58	5037.6	5300.3	4504.83	7139.52	8333.68	11201.7	11465.7	2719.87	6327.19	10817.3	5490.24	3091.04	5786.44	5051.45	12361.3	6676.72	8185.73	6647.3	5781.36	4965.35	10450.3	7295.49	14587.7	9391.71		4954.59	11613.5	6270.46	12107.5	6003.34	6634.17	5630.67	6909.22	8193.92	14132.1	5655.52	4505.48	5937.98	5080.84	5127.78	5318.9	11838.2	11521.8	4571.81	9676.67	4528.39	12124.4		3153.32	12745.6	4916.63	6573.02	6170.3	6764.15	4118.34	3421.61	8025.07	11457.5	11244.4	14793.9	9280.97	3871.62	6667.82	9025.38	9702.3	7862.68	9642.34	9485.58	8194.24	12907.9	10683.8	12867.9	5165.82	5970.31	9075.26	5562.4	4506.63	4474.45	10608.5	8206.56	16390.3	5182.66	9098.5	7152.94	8966.57	12453.2	3793.7	6125.31	33116.1	11583.6	4810.07	6500.48	14128.2	11421.1	7301.4	7844.3
P01718	P01718	LV327_HUMAN	IGLV3-27	Immunoglobulin lambda variable 3-27	627.335			181.77	396.258			151.424	109.209	300.564	633.453	311.954	189.731			264.504	329.933		148.141											374.334								474.927		365.625	688.368	451.517		228.783					2214.37				1448.66				246.369							1127.98		157.624				536.089		460.276				1278.89	382.164	235.129	172.5								245.858		89.6422						3019.62		192.013		520.12	405.232		370.978
